Date,Day Type,Screen,Screen Type,Movie,Genre,Duration,Show Time,Slot Category,Seats Booked,Capacity,Occupancy %,Ticket Price,Revenue,Occupancy Category,Revenue Category
01-May-25,Weekday,Screen 1,IMAX,Munjya,Horror Comedy,123,10:00 AM,Morning,49,120,41,450,22050,Low,Normal Revenue
01-May-25,Weekday,Screen 1,IMAX,Bad Newz,Comedy,142,1:00 PM,Afternoon,85,120,71,450,38250,Medium,Normal Revenue
01-May-25,Weekday,Screen 1,IMAX,Pushpa 2,Action,170,4:00 PM,Evening,95,120,79,450,42750,Medium,Normal Revenue
01-May-25,Weekday,Screen 1,IMAX,Stree 2,Horror Comedy,150,7:00 PM,Prime Time,106,120,88,450,47700,High,Normal Revenue
01-May-25,Weekday,Screen 1,IMAX,Shaitaan,Thriller,132,10:00 PM,Night,88,120,73,450,39600,Medium,Normal Revenue
01-May-25,Weekday,Screen 2,Standard,Pushpa 2,Action,170,10:00 AM,Morning,50,80,63,250,12500,Medium,Normal Revenue
01-May-25,Weekday,Screen 2,Standard,Munjya,Horror Comedy,123,1:00 PM,Afternoon,50,80,63,250,12500,Medium,Normal Revenue
01-May-25,Weekday,Screen 2,Standard,Bad Newz,Comedy,142,4:00 PM,Evening,74,80,93,250,18500,High,Normal Revenue
01-May-25,Weekday,Screen 2,Standard,Kalki,Sci-Fi,180,7:00 PM,Prime Time,73,80,91,250,18250,High,Normal Revenue
01-May-25,Weekday,Screen 2,Standard,Stree 2,Horror Comedy,150,10:00 PM,Night,60,80,75,250,15000,Medium,Normal Revenue
01-May-25,Weekday,Screen 3,Standard,Stree 2,Horror Comedy,150,10:00 AM,Morning,47,100,47,250,11750,Low,Normal Revenue
01-May-25,Weekday,Screen 3,Standard,Bad Newz,Comedy,142,1:00 PM,Afternoon,74,100,74,250,18500,Medium,Normal Revenue
01-May-25,Weekday,Screen 3,Standard,Shaitaan,Thriller,132,4:00 PM,Evening,76,100,76,250,19000,Medium,Normal Revenue
01-May-25,Weekday,Screen 3,Standard,Chandu Champion,Sports Drama,145,7:00 PM,Prime Time,88,100,88,250,22000,High,Normal Revenue
01-May-25,Weekday,Screen 3,Standard,Chandu Champion,Sports Drama,145,10:00 PM,Night,84,100,84,250,21000,High,Normal Revenue
01-May-25,Weekday,Screen 4,IMAX,Pushpa 2,Action,170,10:00 AM,Morning,60,140,43,450,27000,Low,Normal Revenue
01-May-25,Weekday,Screen 4,IMAX,Shaitaan,Thriller,132,1:00 PM,Afternoon,95,140,68,450,42750,Medium,Normal Revenue
01-May-25,Weekday,Screen 4,IMAX,Crew,Comedy Drama,124,4:00 PM,Evening,99,140,71,450,44550,Medium,Normal Revenue
01-May-25,Weekday,Screen 4,IMAX,Chandu Champion,Sports Drama,145,7:00 PM,Prime Time,115,140,82,450,51750,High,High Revenue
01-May-25,Weekday,Screen 4,IMAX,Munjya,Horror Comedy,123,10:00 PM,Night,95,140,68,450,42750,Medium,Normal Revenue
01-May-25,Weekday,Screen 5,Standard,Crew,Comedy Drama,124,10:00 AM,Morning,75,110,68,250,18750,Medium,Normal Revenue
01-May-25,Weekday,Screen 5,Standard,Chandu Champion,Sports Drama,145,1:00 PM,Afternoon,62,110,56,250,15500,Medium,Normal Revenue
01-May-25,Weekday,Screen 5,Standard,Bad Newz,Comedy,142,4:00 PM,Evening,103,110,94,250,25750,High,Normal Revenue
01-May-25,Weekday,Screen 5,Standard,Shaitaan,Thriller,132,7:00 PM,Prime Time,98,110,89,250,24500,High,Normal Revenue
01-May-25,Weekday,Screen 5,Standard,Kalki,Sci-Fi,180,10:00 PM,Night,90,110,82,250,22500,High,Normal Revenue
01-May-25,Weekday,Screen 6,Premium,Crew,Comedy Drama,124,10:00 AM,Morning,91,130,70,350,31850,Medium,Normal Revenue
01-May-25,Weekday,Screen 6,Premium,Chandu Champion,Sports Drama,145,1:00 PM,Afternoon,103,130,79,350,36050,Medium,Normal Revenue
01-May-25,Weekday,Screen 6,Premium,Stree 2,Horror Comedy,150,4:00 PM,Evening,94,130,72,350,32900,Medium,Normal Revenue
